,n_d,n_a,n_steps,n_independent,n_shared,gamma
0,16.0,16.0,3.0,1.0,3.0,1.1
1,8.0,8.0,3.0,2.0,2.0,1.3
2,16.0,16.0,3.0,1.0,1.0,1.1
3,16.0,16.0,5.0,1.0,1.0,1.2
4,16.0,16.0,3.0,3.0,4.0,1.3
5,16.0,16.0,4.0,5.0,4.0,1.3
6,16.0,16.0,5.0,1.0,1.0,1.2
7,16.0,16.0,3.0,2.0,2.0,1.4
8,8.0,8.0,3.0,3.0,2.0,1.2
9,16.0,16.0,5.0,4.0,3.0,1.1
